ITEMS,الأصناف
Item,الصنف
Items,الأصناف
ITEM,الصنف
Items),الأصناف)
MATCH,تطابق
or for Department: {0},أو للإدارة: {0}
"From Date"" can not be greater than or equal to ""To Date","لا يمكن أن يكون ""من التاريخ"" أكبر من ""حتى تاريخ"" أو مساويًا له"
% Finished Item Quantity,٪ كمية المنتج النهائي
% Occupied,٪ مشغول
% Of Applicant Portfolio,٪ من ملف مقدم الطلب
% Of Total Portfolio,٪ من إجمالي الملف
% Returned,٪ مرتجع
% Utilization (B + NB) / T,نسبة الاستخدام (B + NB) / T.
% Utilization (B / T),نسبة الاستخدام (B / T)
Account' in the Accounting section of Customer {0},الحساب في قسم المحاسبة لدى العميل {0}
Default {0} Account' in Company {1},الحساب {0} الافتراضي في الشركة {1}
{0}' is not a valid URL,{0} ليس عنوان URL صالحًا
1 Currency = [?] Fraction|||For e.g. 1 USD = 100 Cent,1 العملة = [؟] الكسور||| على سبيل المثال 1 دولار أمريكي = 100 سنت
80G Number,80G رقم
80G With Effect From,80G بتأثير من
90 Above,90 أكبر من
"<b>Single</b>: Results which require only a single input.|||<br>|||<b>Compound</b>: Results which require multiple event inputs.|||<br>|||<b>Descriptive</b>: Tests which have multiple result components with manual result entry.|||<br>|||<b>Grouped</b>: Test templates which are a group of other test templates.|||<br>|||<b>No Result</b>: Tests with no results, can be ordered and billed but no Lab Test will be created. e.g.. Sub Tests for Grouped results",<b> مفرد </ b>: النتائج التي تتطلب قيدًا واحدًا فقط. ||| <br> ||| <b> المركب </ b>: النتائج التي تتطلب قيود أحداث متعددة. ||| <br> || | <b> وصفي </ b>: الاختبارات التي تحتوي على مكونات نتائج متعددة مع قيد يدوي للنتائج. ||| <br> ||| <b> مجمعة </ b>: نماذج الاختبار التي هي مجموعة من نماذج الاختبار الأخرى. ||| <br> ||| <b> لا نتيجة </ b>: الاختبارات التي ليس لها نتائج ، يمكن طلبها وفواتيرها ولكن لن يتم إنشاء اختبار معمل. على سبيل المثال الاختبارات الفرعية لنتائج مجمعة
